seed,episode_id,entity,project,policy_profile,requires_history,permission_missing,initial_permission,consent,prior_disclosure,action_type
0,27,61,19,1,1,1,MISSING,DENY,1,FORWARD_INFORMATION
0,28,28,14,2,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,29,57,15,0,1,1,MISSING,ALLOW,0,SEND_MESSAGE
0,30,29,21,3,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,31,43,23,4,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,32,45,9,3,1,1,MISSING,ALLOW,0,SEND_MESSAGE
0,33,16,19,4,1,1,MISSING,DENY,0,FORWARD_INFORMATION
0,34,78,14,3,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,35,18,0,3,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,36,72,12,3,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,37,88,4,0,1,1,MISSING,DENY,0,SEND_MESSAGE
0,38,38,2,3,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,39,30,1,4,0,1,MISSING,DENY,0,CREATE_EVENT
0,40,89,4,2,0,0,ALLOW,DENY,1,SEND_MESSAGE
0,41,61,19,0,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,42,36,13,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,43,50,11,4,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,44,45,19,0,1,0,ALLOW,DENY,0,CREATE_EVENT
0,45,34,3,1,1,0,DENY,DENY,1,SEND_MESSAGE
0,46,52,4,0,0,0,ALLOW,ALLOW,1,CREATE_EVENT
0,47,30,14,0,0,1,MISSING,ALLOW,0,CREATE_EVENT
0,48,61,0,3,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,49,9,15,2,1,1,MISSING,DENY,0,CREATE_EVENT
0,50,8,4,1,1,0,ALLOW,DENY,0,CREATE_EVENT
0,51,84,8,4,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
0,52,15,8,0,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,53,1,18,2,0,0,DENY,DENY,0,FORWARD_INFORMATION
0,54,71,15,0,1,0,ALLOW,DENY,1,SEND_MESSAGE
0,55,27,17,1,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,56,53,20,4,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,57,43,15,0,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,58,13,2,5,0,0,ALLOW,DENY,0,CREATE_EVENT
0,59,17,22,0,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,60,78,5,1,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
0,61,57,1,3,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,62,80,23,2,0,1,MISSING,ALLOW,0,CREATE_EVENT
0,63,65,4,2,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,64,25,7,3,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,65,94,6,5,0,0,DENY,DENY,0,FORWARD_INFORMATION
0,66,69,0,5,0,0,DENY,ALLOW,1,CREATE_EVENT
0,67,58,20,1,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,68,83,20,3,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,69,36,19,0,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,70,95,12,3,1,1,MISSING,ALLOW,0,CREATE_EVENT
0,71,61,8,1,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,72,77,9,4,1,0,ALLOW,DENY,0,FORWARD_INFORMATION
0,73,32,13,2,1,1,MISSING,DENY,0,SEND_MESSAGE
0,74,57,20,2,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,75,39,10,4,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,76,60,17,4,1,0,DENY,ALLOW,1,CREATE_EVENT
0,77,48,8,1,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,78,66,2,3,0,1,MISSING,DENY,0,SEND_MESSAGE
0,79,50,8,4,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,80,37,14,2,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,81,23,0,0,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,82,72,17,2,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
0,83,25,0,1,0,1,MISSING,DENY,0,SEND_MESSAGE
0,84,81,20,0,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,85,69,4,5,1,0,ALLOW,DENY,1,SEND_MESSAGE
0,86,20,11,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,87,85,1,0,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,88,81,17,5,1,0,DENY,DENY,1,CREATE_EVENT
0,89,92,19,3,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,90,89,7,4,0,0,DENY,ALLOW,1,CREATE_EVENT
0,91,35,8,5,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,92,33,13,1,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,93,42,21,4,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,94,18,11,0,0,1,MISSING,ALLOW,1,CREATE_EVENT
0,95,28,23,4,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,96,72,7,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,97,65,2,2,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,98,50,5,1,1,0,DENY,DENY,0,SEND_MESSAGE
0,99,74,13,1,1,0,ALLOW,DENY,0,CREATE_EVENT
0,100,13,3,1,0,0,ALLOW,DENY,1,CREATE_EVENT
0,101,95,2,2,0,0,ALLOW,ALLOW,1,CREATE_EVENT
0,102,38,20,2,1,0,DENY,DENY,0,CREATE_EVENT
0,103,38,20,2,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,104,48,0,0,1,1,MISSING,DENY,0,FORWARD_INFORMATION
0,105,30,11,3,0,0,DENY,ALLOW,1,CREATE_EVENT
0,106,60,7,1,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,107,84,11,0,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,108,93,15,4,1,1,MISSING,DENY,0,FORWARD_INFORMATION
0,109,4,18,4,1,0,ALLOW,DENY,0,CREATE_EVENT
0,110,34,5,2,0,1,MISSING,ALLOW,1,CREATE_EVENT
0,111,52,21,2,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,112,37,16,0,1,1,MISSING,DENY,0,SEND_MESSAGE
0,113,81,8,3,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,114,18,18,4,0,1,MISSING,ALLOW,1,CREATE_EVENT
0,115,46,15,2,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,116,16,1,3,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,117,57,18,3,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,118,13,3,4,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,119,60,3,3,1,0,DENY,DENY,0,CREATE_EVENT
0,120,42,13,3,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,121,5,14,2,0,0,ALLOW,DENY,1,SEND_MESSAGE
0,122,82,11,1,1,0,ALLOW,DENY,0,SHARE_DOCUMENT
0,123,19,3,2,1,0,DENY,DENY,0,FORWARD_INFORMATION
0,124,89,22,0,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,125,81,6,5,1,0,ALLOW,DENY,1,SEND_MESSAGE
0,126,82,5,0,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,127,39,8,0,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,128,85,1,4,0,0,DENY,ALLOW,0,CREATE_EVENT
0,129,21,22,3,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,130,13,10,1,0,1,MISSING,ALLOW,1,SEND_MESSAGE
0,131,60,22,2,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,132,22,18,1,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,133,36,17,0,1,1,MISSING,DENY,0,CREATE_EVENT
0,134,70,19,3,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,135,44,19,3,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,136,56,16,5,1,1,MISSING,DENY,0,SEND_MESSAGE
0,137,54,16,3,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,138,46,8,2,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,139,10,11,0,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,140,54,6,4,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,141,45,8,3,0,0,DENY,DENY,0,SHARE_DOCUMENT
0,142,16,9,2,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,143,58,5,3,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,144,0,6,1,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,145,11,1,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,146,52,7,2,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,147,22,5,0,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,148,87,12,4,1,0,DENY,ALLOW,1,SEND_MESSAGE
0,149,15,5,5,0,1,MISSING,DENY,1,CREATE_EVENT
0,150,67,7,2,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,151,29,2,0,1,0,DENY,ALLOW,0,FORWARD_INFORMATION
0,152,42,23,4,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,153,38,7,2,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,154,31,6,3,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,155,47,14,1,0,1,MISSING,DENY,0,FORWARD_INFORMATION
0,156,83,22,2,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,157,47,20,0,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,158,60,19,1,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,159,63,13,0,1,0,ALLOW,DENY,1,CREATE_EVENT
0,160,13,12,0,1,1,MISSING,ALLOW,1,SEND_MESSAGE
0,161,72,18,2,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,162,27,18,5,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,163,24,12,1,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
0,164,41,22,0,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,165,74,7,1,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,166,64,5,3,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,167,17,21,4,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,168,68,19,1,0,0,ALLOW,ALLOW,0,CREATE_EVENT
0,169,35,23,4,0,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,170,68,18,3,0,0,DENY,DENY,0,SEND_MESSAGE
0,171,86,20,2,1,1,MISSING,ALLOW,1,SEND_MESSAGE
0,172,2,0,4,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,173,78,20,3,1,0,ALLOW,ALLOW,0,CREATE_EVENT
0,174,50,18,4,1,0,DENY,ALLOW,0,SEND_MESSAGE
0,175,33,5,1,0,0,DENY,ALLOW,0,CREATE_EVENT
0,176,14,1,1,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,177,6,6,1,0,0,DENY,ALLOW,1,CREATE_EVENT
0,178,88,18,5,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,179,31,20,1,0,0,ALLOW,DENY,1,CREATE_EVENT
0,180,43,0,4,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,181,64,9,4,1,0,DENY,ALLOW,1,CREATE_EVENT
0,182,9,15,4,0,0,ALLOW,DENY,0,CREATE_EVENT
0,183,26,3,4,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
0,184,10,15,5,1,1,MISSING,ALLOW,1,SEND_MESSAGE
0,185,3,5,3,0,0,DENY,ALLOW,1,SEND_MESSAGE
0,186,62,9,1,1,1,MISSING,ALLOW,0,CREATE_EVENT
0,187,71,7,5,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,188,71,16,3,0,0,ALLOW,ALLOW,0,CREATE_EVENT
0,189,15,5,1,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,190,12,11,1,0,0,ALLOW,DENY,1,SEND_MESSAGE
0,191,64,22,1,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,192,36,23,3,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,193,50,21,3,0,1,MISSING,ALLOW,1,CREATE_EVENT
0,194,11,18,1,1,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,195,56,23,4,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,196,76,5,3,1,1,MISSING,DENY,1,SEND_MESSAGE
0,197,55,10,3,0,0,DENY,DENY,0,CREATE_EVENT
0,198,57,8,0,1,1,MISSING,DENY,1,CREATE_EVENT
0,199,23,20,1,1,0,DENY,DENY,1,CREATE_EVENT
0,200,57,2,5,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,201,15,21,4,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
0,202,14,22,2,1,0,DENY,DENY,1,SEND_MESSAGE
0,203,30,3,5,1,1,MISSING,ALLOW,0,SEND_MESSAGE
0,204,49,3,2,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,205,1,14,2,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,206,72,21,4,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,207,33,7,4,0,0,DENY,DENY,1,SEND_MESSAGE
0,208,87,20,1,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
0,209,29,13,3,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
0,210,40,5,1,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,211,67,23,2,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,212,50,21,3,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,213,73,20,3,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,214,69,18,1,0,0,ALLOW,DENY,0,SEND_MESSAGE
0,215,31,6,1,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,216,63,19,3,1,1,MISSING,ALLOW,0,SEND_MESSAGE
0,217,50,6,2,0,1,MISSING,ALLOW,0,SEND_MESSAGE
0,218,41,13,4,0,0,DENY,ALLOW,0,FORWARD_INFORMATION
0,219,74,18,0,0,1,MISSING,DENY,1,FORWARD_INFORMATION
0,220,57,17,0,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,221,11,16,5,0,0,ALLOW,DENY,0,SEND_MESSAGE
0,222,3,9,3,0,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,223,45,3,4,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,224,23,1,4,1,0,DENY,DENY,1,FORWARD_INFORMATION
0,225,70,10,5,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,226,36,14,3,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,227,88,7,5,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
0,228,88,13,2,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,229,55,2,4,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,230,24,13,5,0,1,MISSING,DENY,1,SHARE_DOCUMENT
0,231,1,4,2,1,0,DENY,ALLOW,1,SEND_MESSAGE
0,232,69,6,1,0,1,MISSING,ALLOW,1,FORWARD_INFORMATION
0,233,20,16,1,1,0,ALLOW,ALLOW,1,CREATE_EVENT
0,234,24,23,5,1,0,DENY,ALLOW,0,SHARE_DOCUMENT
0,235,53,14,5,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,236,23,9,4,0,1,MISSING,DENY,1,SEND_MESSAGE
0,237,31,18,3,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,238,40,4,4,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,239,2,21,2,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,240,88,19,4,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
0,241,64,6,3,0,0,DENY,ALLOW,0,CREATE_EVENT
0,242,82,13,1,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,243,9,14,0,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,244,76,13,2,1,0,ALLOW,DENY,0,CREATE_EVENT
0,245,76,23,3,1,0,ALLOW,DENY,1,CREATE_EVENT
0,246,92,4,3,0,0,ALLOW,DENY,0,SHARE_DOCUMENT
0,247,72,10,5,0,0,ALLOW,DENY,0,CREATE_EVENT
0,248,2,19,5,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,249,32,12,4,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,250,0,1,4,1,0,ALLOW,DENY,0,SEND_MESSAGE
0,251,18,13,3,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,252,69,5,5,1,1,MISSING,DENY,0,SEND_MESSAGE
0,253,75,14,2,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,254,23,15,1,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,255,8,22,2,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,256,93,16,0,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,257,91,12,3,0,0,DENY,ALLOW,1,SEND_MESSAGE
0,258,6,20,5,0,1,MISSING,ALLOW,0,SEND_MESSAGE
0,259,17,0,4,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,260,43,10,1,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,261,8,3,5,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,262,40,13,5,0,0,ALLOW,ALLOW,1,CREATE_EVENT
0,263,87,10,3,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,264,94,7,1,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,265,36,10,0,1,0,ALLOW,DENY,1,SEND_MESSAGE
0,266,82,19,1,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,267,55,5,3,1,1,MISSING,ALLOW,0,SHARE_DOCUMENT
0,268,82,6,3,1,0,ALLOW,DENY,1,FORWARD_INFORMATION
0,269,68,7,0,0,0,DENY,ALLOW,0,SEND_MESSAGE
0,270,84,7,0,1,1,MISSING,DENY,0,CREATE_EVENT
0,271,67,11,2,0,0,ALLOW,ALLOW,1,CREATE_EVENT
0,272,22,22,3,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,273,18,23,4,0,0,ALLOW,DENY,0,SEND_MESSAGE
0,274,48,3,5,0,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,275,14,19,4,0,0,ALLOW,DENY,0,CREATE_EVENT
0,276,70,22,4,1,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
0,277,89,10,5,0,1,MISSING,DENY,1,CREATE_EVENT
0,278,93,3,2,1,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,279,89,1,0,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
0,280,43,14,0,1,1,MISSING,DENY,1,SEND_MESSAGE
0,281,67,5,1,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,282,52,21,3,0,0,ALLOW,DENY,1,SHARE_DOCUMENT
0,283,28,18,4,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,284,20,8,5,0,1,MISSING,DENY,0,FORWARD_INFORMATION
0,285,81,20,5,1,1,MISSING,ALLOW,1,SEND_MESSAGE
0,286,58,18,1,1,1,MISSING,DENY,1,CREATE_EVENT
0,287,87,6,3,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,288,42,3,2,0,1,MISSING,ALLOW,1,SHARE_DOCUMENT
0,289,3,19,5,0,1,MISSING,ALLOW,0,SEND_MESSAGE
0,290,43,3,4,1,1,MISSING,ALLOW,0,SEND_MESSAGE
0,291,71,5,3,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,292,90,4,4,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,293,4,6,4,0,0,ALLOW,ALLOW,1,CREATE_EVENT
0,294,74,16,4,1,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,295,75,18,3,1,0,DENY,ALLOW,1,CREATE_EVENT
0,296,41,15,5,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,297,74,14,5,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
0,298,59,20,5,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
0,299,46,4,1,1,0,ALLOW,DENY,1,SEND_MESSAGE
0,300,73,7,1,0,0,ALLOW,DENY,1,CREATE_EVENT
0,301,10,17,4,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,302,0,0,1,1,0,ALLOW,DENY,0,FORWARD_INFORMATION
0,303,86,5,3,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
0,304,17,14,1,1,0,DENY,DENY,1,FORWARD_INFORMATION
0,305,72,19,5,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,306,34,12,5,1,0,DENY,DENY,0,SHARE_DOCUMENT
0,307,4,20,1,0,0,DENY,ALLOW,1,CREATE_EVENT
0,308,74,15,1,1,0,DENY,DENY,1,CREATE_EVENT
0,309,6,11,2,1,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,310,62,12,0,1,0,DENY,DENY,1,SHARE_DOCUMENT
0,311,83,11,2,0,0,ALLOW,ALLOW,0,CREATE_EVENT
0,312,88,9,2,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
0,313,65,6,4,1,1,MISSING,ALLOW,1,CREATE_EVENT
0,314,77,1,1,0,0,ALLOW,ALLOW,1,FORWARD_INFORMATION
0,315,34,9,0,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
0,316,8,0,5,0,1,MISSING,ALLOW,0,FORWARD_INFORMATION
0,317,63,3,2,1,0,DENY,ALLOW,0,SEND_MESSAGE
0,318,16,15,4,0,0,DENY,DENY,0,SHARE_DOCUMENT
0,319,41,16,0,0,0,ALLOW,ALLOW,1,CREATE_EVENT
1,0,60,17,1,1,1,MISSING,ALLOW,1,SHARE_DOCUMENT
1,1,50,2,0,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,2,51,15,5,0,0,ALLOW,DENY,1,FORWARD_INFORMATION
1,3,87,3,5,1,0,ALLOW,ALLOW,0,CREATE_EVENT
1,4,13,17,2,0,0,DENY,DENY,0,FORWARD_INFORMATION
1,5,47,5,5,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,6,61,14,5,0,0,ALLOW,ALLOW,0,SHARE_DOCUMENT
1,7,88,13,4,1,1,MISSING,DENY,1,FORWARD_INFORMATION
1,8,78,0,3,0,0,DENY,ALLOW,0,CREATE_EVENT
1,9,88,13,2,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,10,22,1,0,1,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,11,84,9,5,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,12,83,3,2,1,1,MISSING,ALLOW,1,CREATE_EVENT
1,13,52,16,0,0,0,ALLOW,DENY,0,FORWARD_INFORMATION
1,14,30,17,5,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,15,12,14,1,0,1,MISSING,ALLOW,1,SEND_MESSAGE
1,16,34,4,3,0,1,MISSING,ALLOW,0,SHARE_DOCUMENT
1,17,90,17,2,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,18,14,22,3,0,0,ALLOW,ALLOW,0,CREATE_EVENT
1,19,34,9,0,0,0,ALLOW,DENY,1,SEND_MESSAGE
1,20,86,12,3,1,1,MISSING,ALLOW,0,SEND_MESSAGE
1,21,9,10,2,0,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,22,54,1,1,0,1,MISSING,ALLOW,0,SEND_MESSAGE
1,23,90,9,1,1,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
1,24,74,23,1,0,1,MISSING,ALLOW,1,FORWARD_INFORMATION
1,25,5,20,4,1,1,MISSING,ALLOW,1,SEND_MESSAGE
1,26,38,17,0,1,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,27,54,1,4,1,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,28,34,4,5,0,0,DENY,ALLOW,1,FORWARD_INFORMATION
1,29,42,20,3,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,30,59,23,5,1,0,ALLOW,DENY,1,SEND_MESSAGE
1,31,34,4,3,1,0,DENY,DENY,0,SHARE_DOCUMENT
1,32,15,21,3,0,0,DENY,ALLOW,1,SEND_MESSAGE
1,33,60,15,4,1,0,ALLOW,DENY,0,FORWARD_INFORMATION
1,34,72,7,1,0,0,ALLOW,ALLOW,1,SEND_MESSAGE
1,35,3,12,3,0,0,DENY,ALLOW,0,CREATE_EVENT
1,36,56,5,5,0,0,DENY,DENY,0,FORWARD_INFORMATION
1,37,80,23,4,0,0,ALLOW,ALLOW,0,FORWARD_INFORMATION
1,38,85,13,5,0,1,MISSING,ALLOW,0,CREATE_EVENT
1,39,74,4,4,1,0,ALLOW,ALLOW,0,SEND_MESSAGE
1,40,13,10,3,1,0,ALLOW,DENY,0,CREATE_EVENT
1,41,53,15,5,1,0,DENY,ALLOW,1,SHARE_DOCUMENT
1,42,15,16,2,0,0,ALLOW,ALLOW,1,SHARE_DOCUMENT
