run_id,task_id,family,branch,variant,runtime,cadence
runtime1-dev-38,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-39,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-40,tau2-retail-14,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-41,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-42,tau2-retail-7,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-43,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-44,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-45,agentdojo-workspace-UserTask9,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-46,agentdojo-workspace-UserTask12,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-47,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-48,agentdojo-workspace-UserTask13,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-49,tau2-retail-14,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-50,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-51,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-52,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-53,agentdojo-workspace-UserTask35,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-54,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-55,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-56,agentdojo-workspace-UserTask9,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-57,agentdojo-workspace-UserTask18,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-58,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-59,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-60,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-61,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-62,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-63,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-64,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-65,agentdojo-workspace-UserTask18,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-66,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-67,tau2-retail-14,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-68,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-69,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-70,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-71,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-72,agentdojo-workspace-UserTask8,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-73,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-74,agentdojo-workspace-UserTask18,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-75,agentdojo-workspace-UserTask9,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-76,agentdojo-workspace-UserTask15,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-77,tau2-retail-7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-78,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-79,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-80,agentdojo-workspace-UserTask8,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-81,agentdojo-workspace-UserTask12,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-82,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-83,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-84,tau2-retail-14,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-85,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-86,tau2-retail-14,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-87,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-88,agentdojo-workspace-UserTask12,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-89,agentdojo-workspace-UserTask15,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-90,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-91,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-92,tau2-retail-7,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-93,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-94,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-95,agentdojo-workspace-UserTask18,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-96,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-97,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-98,agentdojo-slack-UserTask6,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-99,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-100,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-101,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-102,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-103,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-104,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-105,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-106,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-107,tau2-retail-11,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-108,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-109,agentdojo-workspace-UserTask8,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-110,agentdojo-workspace-UserTask9,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-111,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-112,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-113,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-114,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-115,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-116,agentdojo-workspace-UserTask13,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-117,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-118,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-119,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-120,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-121,agentdojo-workspace-UserTask9,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-122,tau2-retail-14,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-123,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-124,tau2-retail-11,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-125,tau2-retail-14,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-126,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-127,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-128,tau2-retail-7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-129,agentdojo-workspace-UserTask8,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-130,tau2-retail-11,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-131,agentdojo-workspace-UserTask9,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-132,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-133,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-134,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-135,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-136,agentdojo-workspace-UserTask18,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-137,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-138,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-139,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-140,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-141,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-142,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-143,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-144,tau2-retail-14,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-145,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-146,tau2-retail-14,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-147,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-148,agentdojo-workspace-UserTask9,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-149,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-150,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-151,agentdojo-workspace-UserTask12,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-152,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-153,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-154,agentdojo-workspace-UserTask18,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-155,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-156,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-157,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-158,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-159,agentdojo-workspace-UserTask35,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-160,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-161,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-162,agentdojo-workspace-UserTask8,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-163,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-164,tau2-retail-14,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-165,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-166,tau2-retail-7,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-167,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-168,agentdojo-workspace-UserTask15,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-169,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-170,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-171,agentdojo-workspace-UserTask13,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-172,tau2-retail-14,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-173,agentdojo-workspace-UserTask9,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-174,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-175,agentdojo-workspace-UserTask15,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-176,tau2-retail-7,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-177,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-178,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-179,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-180,agentdojo-workspace-UserTask13,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-181,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-182,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-183,agentdojo-workspace-UserTask35,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-184,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-185,agentdojo-workspace-UserTask13,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-186,tau2-retail-14,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-187,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-188,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-189,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-190,agentdojo-workspace-UserTask8,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-191,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-192,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-193,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-194,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-195,agentdojo-workspace-UserTask13,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-196,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-197,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-198,agentdojo-workspace-UserTask13,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-199,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-200,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-201,agentdojo-workspace-UserTask35,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-202,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-203,tau2-retail-7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-204,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-205,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-206,tau2-retail-16,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-207,agentdojo-workspace-UserTask9,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-208,agentdojo-workspace-UserTask18,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-209,tau2-retail-14,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-210,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-211,tau2-retail-11,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-212,agentdojo-workspace-UserTask12,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-213,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-214,tau2-retail-7,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-215,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-216,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P95
runtime1-dev-217,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-218,tau2-retail-11,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-219,tau2-retail-14,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-220,agentdojo-workspace-UserTask9,AUTHORIZATION,1,M3,Microsoft Agent Framework,P95
runtime1-dev-221,tau2-retail-7,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-222,tau2-retail-14,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-223,agentdojo-workspace-UserTask9,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-224,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99
runtime1-dev-225,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-226,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-227,tau2-retail-7,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-228,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-229,tau2-retail-11,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-230,agentdojo-slack-UserTask6,AUTHORIZATION,0,M3,Microsoft Agent Framework,P90
runtime1-dev-231,agentdojo-workspace-UserTask12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P90
runtime1-dev-232,agentdojo-workspace-UserTask12,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-233,agentdojo-slack-UserTask6,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
runtime1-dev-234,tau2-retail-14,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-235,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-236,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P90
runtime1-dev-237,tau2-retail-7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P99
runtime1-dev-238,tau2-retail-16,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-239,tau2-retail-16,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P95
runtime1-dev-240,tau2-retail-7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework,P90
runtime1-dev-241,agentdojo-workspace-UserTask35,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99
runtime1-dev-242,tau2-retail-16,AUTHORIZATION,0,M3,Microsoft Agent Framework,P99
runtime1-dev-243,agentdojo-workspace-UserTask15,AUTHORIZATION,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-244,agentdojo-workspace-UserTask35,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P99+1MS
runtime1-dev-245,agentdojo-workspace-UserTask8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework,P95
