coordinate_id,task,framework,observer,role,feature_family,feature_width,selected_model,train_cv_raw_auc,train_orientation,train_distinguishability_auc,eval_auc,eval_ci95_low,eval_ci95_high,train_blocks,eval_blocks,bootstrap_resamples,post_outcome_development_diagnostic,reproduces_original_smoke_result
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,A,1065,RBF_SVM,0.4188888888888889,INVERTED,0.5811111111111111,0.601111111111111,0.42777777777777776,0.7677777777777778,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,B,1065,HIST_GRADIENT_BOOSTING,0.37222222222222223,INVERTED,0.6277777777777778,0.4544444444444444,0.29333333333333333,0.6088888888888889,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,C,1065,HIST_GRADIENT_BOOSTING,0.6422222222222222,NORMAL,0.6422222222222222,0.6122222222222222,0.46,0.7588888888888888,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,D,1065,HIST_GRADIENT_BOOSTING,0.5855555555555556,NORMAL,0.5855555555555556,0.6433333333333333,0.48333333333333334,0.7855555555555556,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,AB,533,RBF_SVM,0.3822222222222222,INVERTED,0.6177777777777778,0.598888888888889,0.46555555555555556,0.7278055555555552,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,BC,533,HIST_GRADIENT_BOOSTING,0.59,NORMAL,0.59,0.6611111111111111,0.5277777777777778,0.7888888888888889,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,CD,533,RBF_SVM,0.5944444444444444,NORMAL,0.5944444444444444,0.5816666666666667,0.45111111111111113,0.71,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,REQUEST_SIDE,2663,HIST_GRADIENT_BOOSTING,0.34,INVERTED,0.6599999999999999,0.39888888888888896,0.2633333333333333,0.5455555555555556,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,RESPONSE_SIDE,2663,LOGISTIC_REGRESSION,0.5844444444444444,NORMAL,0.5844444444444444,0.4222222222222222,0.28,0.57,30,30,10000,True,
P10-T9-OA,T9,OpenAI Agents SDK,RELAY,RESIDUAL_FOCUS,ALL,5860,EXTRA_TREES,0.5688888888888889,NORMAL,0.5688888888888889,0.6844444444444444,0.5377777777777778,0.8177777777777778,30,30,10000,True,True
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,A,1065,HIST_GRADIENT_BOOSTING,0.7422222222222222,NORMAL,0.7422222222222222,0.5422222222222222,0.3888888888888889,0.6933333333333334,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,B,1065,RBF_SVM,0.6533333333333334,NORMAL,0.6533333333333334,0.3633333333333333,0.24222222222222223,0.49,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,C,1065,EXTRA_TREES,0.5988888888888889,NORMAL,0.5988888888888889,0.4877777777777778,0.3433055555555556,0.63,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,D,1065,HIST_GRADIENT_BOOSTING,0.37333333333333335,INVERTED,0.6266666666666667,0.5322222222222222,0.4011111111111111,0.6655555555555556,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,AB,533,HIST_GRADIENT_BOOSTING,0.3311111111111111,INVERTED,0.6688888888888889,0.45222222222222214,0.3121944444444445,0.59,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,BC,533,RBF_SVM,0.3622222222222222,INVERTED,0.6377777777777778,0.5755555555555556,0.43555555555555553,0.7155555555555555,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,CD,533,RBF_SVM,0.5905555555555556,NORMAL,0.5905555555555556,0.5177777777777778,0.4027777777777778,0.6333333333333333,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,REQUEST_SIDE,2663,HIST_GRADIENT_BOOSTING,0.6255555555555556,NORMAL,0.6255555555555556,0.5022222222222222,0.35886111111111113,0.6477777777777778,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,RESPONSE_SIDE,2663,LOGISTIC_REGRESSION,0.40555555555555556,INVERTED,0.5944444444444444,0.5111111111111111,0.3533055555555556,0.6655555555555556,30,30,10000,True,
P10-T7-OA,T7,OpenAI Agents SDK,RELAY,NEGATIVE_CONTROL,ALL,5860,LOGISTIC_REGRESSION,0.35444444444444445,INVERTED,0.6455555555555555,0.4855555555555555,0.33444444444444443,0.64,30,30,10000,True,True
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,A,1065,RBF_SVM,0.6005555555555555,NORMAL,0.6005555555555555,0.5794444444444444,0.4249861111111111,0.73,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,B,1065,HIST_GRADIENT_BOOSTING,0.42222222222222217,INVERTED,0.5777777777777778,0.5022222222222223,0.35333333333333333,0.6466666666666666,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,C,1065,LOGISTIC_REGRESSION,0.4177777777777778,INVERTED,0.5822222222222222,0.45666666666666667,0.3088888888888889,0.6066666666666667,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,D,1065,LOGISTIC_REGRESSION,0.40555555555555556,INVERTED,0.5944444444444444,0.46777777777777774,0.31555555555555553,0.6222222222222222,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,AB,533,EXTRA_TREES,0.68,NORMAL,0.68,0.5655555555555556,0.39111111111111113,0.73,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,BC,533,LOGISTIC_REGRESSION,0.658888888888889,NORMAL,0.658888888888889,0.65,0.5011111111111111,0.7866666666666666,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,CD,533,LOGISTIC_REGRESSION,0.46444444444444444,INVERTED,0.5355555555555556,0.3977777777777778,0.25,0.5522222222222222,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,REQUEST_SIDE,2663,EXTRA_TREES,0.5533333333333333,NORMAL,0.5533333333333333,0.48,0.3322222222222222,0.6277777777777778,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,RESPONSE_SIDE,2663,EXTRA_TREES,0.4377777777777778,INVERTED,0.5622222222222222,0.3872222222222222,0.24555555555555555,0.5311111111111111,30,30,10000,True,
P10-T9-MS,T9,Microsoft Agent Framework,RELAY,NEGATIVE_CONTROL,ALL,5860,HIST_GRADIENT_BOOSTING,0.4055555555555556,INVERTED,0.5944444444444443,0.4688888888888889,0.3188888888888889,0.6233333333333333,30,30,10000,True,True
