framework,pinned_commit,relative_path,line,behavior_kind,detail,disposition,reason
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,30,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,53,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,53,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,53,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,82,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,31,tool,get_user_name,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,30,tool,tool,SHARED_PRIMITIVE,decorated Tool remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,30,hitl_resume,tool,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,37,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,37,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,37,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,44,tool,"Name(id='get_user_name', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,47,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,47,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,47,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,52,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,52,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,52,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,58,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,58,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,58,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,hitl_resume,spanish_agent.as_tool,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,109,fanout_fanin,join,UNSUPPORTED,parallel scheduling is not in the current one-transition IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,126,loop,While,UNSUPPORTED,current IR has no proven public bounded-loop lowering
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,131,state_memory,result.to_state,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,132,loop,For,UNSUPPORTED,current IR has no proven public bounded-loop lowering
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,135,conditional_edge,confirmed,UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,hitl_resume,state.approve,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,state_memory,state.approve,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,hitl_resume,state.reject,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,state_memory,state.reject,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,143,conditional_edge,is_auto_mode(),UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,145,loop,For,UNSUPPORTED,current IR has no proven public bounded-loop lowering
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,147,conditional_edge,"item.type == 'tool_call_item' and isinstance(tool_name, str)",UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,148,conditional_edge,tool_name.startswith('respond_'),UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,150,conditional_edge,"sorted(called_tools) != ['respond_french', 'respond_spanish']",UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,152,conditional_edge,not result.final_output,UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,158,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,17,tool,billing_status_checker,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,13,tool,tool,SHARED_PRIMITIVE,decorated Tool remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,35,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,35,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,35,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,39,tool,"Name(id='billing_status_checker', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,42,agents_as_tools,billing_agent.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,48,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,48,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,48,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,54,tool,"Name(id='billing_agent_tool', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,65,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,18,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,18,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,18,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,26,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,26,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,26,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,UNSUPPORTED,current IR has no exact nested-Agent-as-Tool transition
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,UNSUPPORTED,nested Agent-as-Tool execution is not represented exactly by current IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,63,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,18,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,18,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,18,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,29,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,29,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,29,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,35,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,35,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,35,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,83,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,47,tool,get_weather,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,62,conditional_edge,tool_use_behavior == 'default',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,66,conditional_edge,tool_use_behavior == 'first_tool',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,68,conditional_edge,tool_use_behavior == 'custom',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,71,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,71,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,71,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,74,tool,"Name(id='get_weather', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,92,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,109,conditional_edge,is_auto_mode(),UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,27,tool,get_proposal,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,38,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,38,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,38,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,49,tool,"Name(id='get_proposal', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,67,conditional_edge,is_hosted_item or is_subagent_message,UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,89,conditional_edge,args.mode == 'stream',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,95,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,24,tool,get_weather,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,45,tool,get_temperature,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,41,tool,tool,SHARED_PRIMITIVE,decorated Tool remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,41,hitl_resume,tool,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,58,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,58,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,58,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,64,tool,"Name(id='get_weather', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,64,tool,"Name(id='get_temperature', ctx=Load())",SHARED_PRIMITIVE,Tool execution remains a common provider primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,91,loop,While,UNSUPPORTED,current IR has no proven public bounded-loop lowering
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,97,state_memory,result.to_state,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,98,state_memory,state.to_json,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,112,state_memory,RunState.from_json,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,115,loop,For,UNSUPPORTED,current IR has no proven public bounded-loop lowering
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,123,conditional_edge,confirmed,UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,125,hitl_resume,state.approve,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,125,state_memory,state.approve,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,128,hitl_resume,state.reject,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,128,state_memory,state.reject,UNSUPPORTED,framework-native persistence object is not automatically lowered to STATE_GET/SET
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,141,conditional_edge,__name__ == '__main__',UNSUPPORTED,arbitrary Python condition is not a declarative BRANCH predicate
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,33,tool,publish_announcement,SHARED_PRIMITIVE,decorated function executes behind the Tool boundary
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,32,tool,tool,SHARED_PRIMITIVE,decorated Tool remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,32,hitl_resume,tool,UNSUPPORTED,current IR lacks exact HITL_WAIT/RESUME state semantics
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,53,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
